ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002406.SZ,20260130,82838,6685.98,76269,6159.43,57516,4639.77,60862,4915.15,27646,2231.84,26129,2106.95,2902,236.2,7642,612.26,8627,706.9
600072.SH,20260130,139247,15745.44,154048,17417.18,84291,9541.07,85776,9717.99,46305,5242.89,33269,3769.92,16712,1897.53,13463,1521.85,-35885,-4000.37
000758.SZ,20260130,504737,40407.65,403366,32386.16,505078,40529.05,500614,40248.56,407515,32709.82,442335,35568.48,295452,23848.05,366468,29291.37,88664,7151.02
300926.SZ,20260130,22303,6714.09,22995,6919.46,16035,4820.49,19056,5736.11,10937,3290.1,7810,2348.86,1461,441.14,874,261.38,-7064,-2117.59
000953.SZ,20260130,23413,1671.71,20373,1455.46,20915,1493.16,23450,1674.81,8011,573.0,9288,662.8,772,55.2,0,0.0,1151,86.68
603933.SH,20260130,27208,6243.25,24573,5635.22,13317,3050.73,14522,3329.52,4274,978.36,5706,1308.06,2,0.46,0,0.0,3284,763.31
688113.SH,20260130,7781,3454.13,9740,4317.5,4311,1912.8,3905,1732.4,2758,1217.42,1688,747.59,745,331.89,263,118.74,-4120,-1809.47
688251.SH,20260130,8786,2342.23,8076,2152.64,6697,1785.23,6641,1772.74,2148,574.98,2513,669.54,0,0.0,400,107.52,72,21.22
601163.SH,20260130,52079,8051.97,47408,7327.82,23665,3660.52,25072,3879.18,11623,1797.1,14005,2166.52,42,6.47,925,142.54,-3227,-490.02
300417.SZ,20260130,27808,3627.06,26782,3491.8,13436,1750.14,14129,1841.68,3044,397.0,3377,440.72,0,0.0,0,0.0,3140,406.68
600121.SH,20260130,472723,21881.58,484504,22397.66,412549,19103.26,376253,17428.67,232380,10767.88,213973,9923.49,29913,1377.74,72835,3380.63,14344,781.0
603700.SH,20260130,32487,4532.24,32997,4603.22,7259,1015.97,6020,843.47,2239,312.7,2874,401.16,0,0.0,94,13.05,3967,551.0
301118.SZ,20260130,24537,6557.19,21683,5800.8,12249,3278.49,13886,3716.94,5762,1541.2,7144,1909.95,2317,625.03,2152,574.22,4871,1302.86
600410.SH,20260130,772356,162753.21,773031,162812.32,590651,124446.67,574440,121062.94,310713,65469.95,299292,63118.41,76362,16107.54,103319,21783.69,-292381,-61220.4
601900.SH,20260130,87038,13186.41,88322,13379.91,55784,8446.81,45919,6956.89,25073,3795.86,29321,4439.46,303,45.99,4636,698.8,-17817,-2678.06
002937.SZ,20260130,22076,5248.2,21609,5138.68,18769,4463.23,17290,4116.91,17122,4080.56,15618,3720.82,5508,1313.28,8958,2128.88,10343,2468.88
600113.SH,20260130,27867,17187.38,28074,17280.74,30180,18636.24,29357,18122.51,20042,12339.32,20504,12655.54,7079,4363.74,7234,4467.88,10526,6600.17
601000.SH,20260130,346582,15068.36,336599,14633.47,206732,8991.41,214982,9360.58,160510,6954.9,91936,4004.92,68328,2932.7,138635,5948.41,62305,2719.39
603615.SH,20260130,21936,5333.86,21802,5293.9,15604,3790.66,16256,3954.01,12407,3003.78,13107,3174.77,1805,435.68,587,141.29,2621,654.79
688768.SH,20260130,10008,6200.89,8566,5308.41,7510,4658.54,9265,5741.23,5436,3379.22,4760,2950.05,2667,1648.16,3031,1887.11,1560,993.8
002649.SZ,20260130,85527,11967.18,76396,10691.23,88941,12442.39,69808,9768.95,46653,6525.7,63326,8856.89,5088,710.41,16679,2328.61,-48658,-6779.02
000065.SZ,20260130,64041,8079.59,82356,10403.22,68010,8588.94,64881,8205.89,60684,7670.36,58792,7431.76,34249,4351.9,20955,2649.92,-29805,-3753.12
301066.SZ,20260130,36147,7234.84,28903,5784.87,35213,7050.88,35592,7126.74,19960,3995.63,26058,5213.93,5747,1146.64,6514,1302.46,-16300,-3240.7
003031.SZ,20260130,38969,30660.9,48938,38513.55,52773,41547.14,52044,41034.15,44434,34980.16,40416,31802.48,15117,11943.13,9894,7781.14,12089,9752.74
688778.SH,20260130,29652,25347.95,28154,24055.7,21779,18587.38,20024,17107.34,13971,11904.17,14375,12258.03,2481,2119.69,5331,4538.12,1997,1731.88
300713.SZ,20260130,27708,4739.39,25346,4335.08,13970,2387.7,13410,2293.52,3249,554.63,6171,1053.13,0,0.0,0,0.0,1897,327.87
688081.SH,20260130,13971,4780.05,13930,4762.95,5283,1796.43,5336,1817.62,3269,1115.66,3981,1358.96,1991,683.5,1268,436.12,-2062,-707.05
600645.SH,20260130,30577,7957.98,33066,8600.17,22696,5907.42,24556,6396.31,12173,3166.46,10171,2654.96,3687,965.71,1340,346.14,-8729,-2246.68
000733.SZ,20260130,79425,43040.07,57210,30980.01,80195,43473.25,75366,40894.7,68208,36888.28,78917,42719.84,22075,11930.14,38409,20737.18,-41492,-22457.12
300939.SZ,20260130,15505,5491.26,12966,4593.91,13126,4637.13,15177,5369.99,5390,1907.24,6212,2187.94,334,116.2,0,0.0,2915,1060.93
600800.SH,20260130,264224,12137.18,270262,12415.88,164719,7576.75,173211,7960.39,118733,5449.51,100724,4623.91,30866,1419.38,34346,1582.63,-117165,-5347.39
600500.SH,20260130,313465,14431.09,325725,15000.73,323726,14912.29,307087,14143.69,194058,8949.84,182360,8407.21,24056,1118.5,40133,1860.09,100112,4709.82
603286.SH,20260130,22012,15008.97,20913,14293.39,16698,11374.65,15237,10407.07,15198,10360.32,13744,9345.83,1931,1319.25,5945,4016.89,4037,2658.58
603181.SH,20260130,53755,8830.21,49349,8102.11,38060,6245.34,40708,6686.4,18610,3059.67,22380,3677.67,6053,997.1,4042,666.14,15297,2553.11
603848.SH,20260130,28324,5385.54,23996,4566.32,17212,3280.7,13691,2607.37,10026,1897.76,15454,2931.83,0,0.0,2421,458.49,15100,2892.23
603162.SH,20260130,269520,40237.13,268143,40014.18,180905,26956.38,169996,25349.42,99352,14808.45,94690,14133.78,42374,6298.4,59322,8802.97,54767,8155.24
603697.SH,20260130,48725,5990.96,52489,6453.24,15208,1869.7,13614,1673.91,7196,885.91,5026,619.42,0,0.0,0,0.0,-9779,-1197.34
002641.SZ,20260130,74070,3292.33,73240,3251.02,66801,2969.04,74003,3292.63,60566,2690.09,57844,2571.62,12102,543.33,8452,379.51,21207,967.73
603486.SH,20260130,34683,25158.27,36035,26144.9,20384,14784.8,17966,13036.28,11488,8329.6,12313,8912.71,1191,860.99,1432,1039.76,-7628,-5511.29
002886.SZ,20260130,33442,7655.68,26412,6048.01,23085,5270.14,27600,6311.05,16604,3798.27,15634,3569.67,157,35.42,3642,830.79,4266,990.7
603633.SH,20260130,47685,4320.22,46629,4223.54,26106,2363.38,22847,2067.89,6015,542.42,10115,915.25,4332,390.75,4546,410.08,-4006,-356.05
300320.SZ,20260130,54565,5561.47,40358,4116.51,33913,3455.68,37902,3866.98,13546,1379.78,27787,2825.7,4023,412.26,0,0.0,-1913,-187.92
603566.SH,20260130,35964,4984.61,38039,5270.92,17308,2399.81,16030,2221.96,6124,849.35,6592,914.74,2791,384.76,1526,210.9,-4192,-570.87
600160.SH,20260130,119104,46898.5,110328,43447.09,102657,40411.25,96752,38083.7,64674,25427.46,66398,26094.85,29724,11680.79,42681,16792.36,-2936,-1082.96
688309.SH,20260130,21676,6528.22,21848,6592.19,15713,4753.17,17668,5352.89,11165,3385.67,15614,4730.09,9533,2883.34,2956,875.23,5680,1709.35
300905.SZ,20260130,27339,10047.06,17897,6593.11,14194,5233.45,23902,8805.2,10899,4046.77,14069,5205.01,6414,2374.67,2978,1098.62,8131,3050.13
300293.SZ,20260130,64217,13662.38,44097,9375.69,57557,12249.43,58222,12388.06,23439,4975.99,34255,7293.52,223,46.9,8862,1877.43,-43924,-9318.22
688123.SH,20260130,28083,51314.63,25046,45784.09,48552,88868.38,46303,84747.16,39662,72682.77,39760,72817.95,19522,35862.9,24710,45379.48,28308,52346.21
600744.SH,20260130,390558,25150.84,388509,25029.51,232891,14995.59,237155,15274.68,97465,6260.78,97015,6239.24,22813,1474.34,21047,1338.12,51387,3391.9
600770.SH,20260130,371626,24568.28,380452,25134.87,273951,18116.98,258611,17104.62,99201,6557.73,112957,7483.18,20865,1391.93,13623,912.25,-45362,-2852.34
300762.SZ,20260130,162244,67136.8,112145,46472.91,171287,70874.55,160019,66254.44,114043,47202.41,151517,62651.85,44085,18196.15,67978,28030.7,17,96.45
