MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
005,2017-09-19 00:00:00,242.48,138.059999999999,25757.52,311167.94,5644.78,5506.72,600233.SH,圆通速递,10.01,3356.84,-0.18,425369744426.8,11151.5,25757.52,466269
005,2017-09-18 00:00:00,4494.72,4387.34,21505.28,311029.88,8437.09,4049.75,002797.SZ,第一创业,10.04,3362.86,0.28,426696704376.789,12486.84,21505.28,479600
005,2017-09-15 00:00:00,104.0,-187.66,25896.0,306642.54,5903.46,6091.12,300459.SZ,汤姆猫,9.98,3353.62,-0.53,420874158831.642,11994.58,25896,445486
005,2017-09-14 00:00:00,152.030000000001,46.44,25847.97,306830.2,5095.88,5049.44,000930.SZ,中粮科技,10.04,3371.43,-0.38,419706395364.359,10145.32,25847.97,414188
005,2017-09-13 00:00:00,352.76,235.35,25647.24,306783.76,4791.47,4556.12,002497.SZ,雅化集团,10.0,3384.15,0.14,421662110584.58,9347.59,25647.24,405768
005,2017-09-12 00:00:00,2571.5,2468.82,23428.5,306548.41,7178.43,4709.61,000810.SZ,创维数字,10.05,3379.49,0.09,419147946741.47,11888.04,23428.5,481839
005,2017-09-11 00:00:00,2128.58,2006.63,23871.42,304079.59,6418.14,4411.51,002497.SZ,雅化集团,10.03,3376.42,0.33,415004568762.98,10829.65,23871.42,425985
005,2017-09-08 00:00:00,567.0,429.78,25433.0,302072.96,5663.15,5233.37,002497.SZ,雅化集团,10.03,3365.24,-0.01,413929516539.65,10896.52,25433,416345
005,2017-09-07 00:00:00,1033.47,931.61,24966.53,301643.18,5484.02,4552.41,002056.SZ,横店东磁,10.05,3365.5,-0.59,413553941014.671,10036.43,24966.53,403970
005,2017-09-06 00:00:00,291.630000000001,162.79,25708.37,300711.57,4722.27,4559.48,601618.SH,中国中冶,10.06,3385.39,0.03,414506488020.39,9281.75,25708.37,383415
