ts_code,name,count,exchange,list_date,type
886019.TI,AIGC概念,276.0,A,20221116,N
886020.TI,PET铜箔,46.0,A,20221122,N
886021.TI,国企改革,1449.0,A,20221125,N
886023.TI,数据确权,68.0,A,20221205,N
886026.TI,POE胶膜,29.0,A,20221212,N
886028.TI,血氧仪,24.0,A,20221227,N
886030.TI,成飞概念,43.0,A,20230130,N
886031.TI,ChatGPT概念,140.0,A,20230131,N
886032.TI,固态电池,281.0,A,20230208,N
886033.TI,共封装光学(CPO),146.0,A,20230210,N
886034.TI,数字水印,30.0,A,20230214,N
886035.TI,毫米波雷达,123.0,A,20230222,N
886036.TI,时空大数据,63.0,A,20230302,N
886037.TI,6G概念,88.0,A,20230302,N
886038.TI,超导概念,30.0,A,20230310,N
886039.TI,ERP概念,36.0,A,20230321,N
886040.TI,MLOps概念,18.0,A,20230404,N
886041.TI,数据要素,387.0,A,20230411,N
886042.TI,存储芯片,166.0,A,20230413,N
886043.TI,太赫兹,21.0,A,20230420,N
886044.TI,液冷服务器,176.0,A,20230427,N
886045.TI,同花顺中特估100,100.0,A,20230505,N
886046.TI,MR(混合现实),69.0,A,20230522,N
886047.TI,脑机接口,70.0,A,20230529,N
886048.TI,英伟达概念,75.0,A,20230530,N
886049.TI,空间计算,62.0,A,20230609,N
886050.TI,算力租赁,156.0,A,20230612,N
886051.TI,减肥药,59.0,A,20230810,N
886052.TI,核污染防治,58.0,A,20230828,N
886053.TI,BC电池,47.0,A,20230906,N
886054.TI,光刻机,47.0,A,20230908,N
886055.TI,星闪概念,75.0,A,20230912,N
886056.TI,阿尔茨海默概念,40.0,A,20230919,N
886057.TI,新型工业化,285.0,A,20230925,N
886058.TI,华为昇腾,100.0,A,20231025,N
886059.TI,智能座舱,162.0,A,20231103,N
886060.TI,短剧游戏,66.0,A,20231107,N
886061.TI,长安汽车概念,222.0,A,20231127,N
886062.TI,多模态AI,144.0,A,20231208,N
886063.TI,PEEK材料,49.0,A,20231220,N
886064.TI,小米汽车,117.0,A,20231228,N
886065.TI,可控核聚变,107.0,A,20240102,N
886066.TI,飞行汽车(eVTOL),127.0,A,20240111,N
886067.TI,低空经济,468.0,A,20240126,N
886068.TI,Sora概念(文生视频),42.0,A,20240219,N
886069.TI,人形机器人,412.0,A,20240227,N
886070.TI,AI手机,34.0,A,20240304,N
886071.TI,AI PC,49.0,A,20240305,N
886072.TI,高股息精选,20.0,A,20240312,N
886073.TI,铜缆高速连接,44.0,A,20240320,N
886074.TI,AI语料,50.0,A,20240325,N
886075.TI,同花顺出海50,50.0,A,20240403,N
886076.TI,军工信息化,106.0,A,20240423,N
886077.TI,合成生物,162.0,A,20240430,N
886078.TI,商业航天,437.0,A,20240529,N
886080.TI,财税数字化,66.0,A,20240702,N
886081.TI,维生素,74.0,A,20240703,N
886082.TI,同花顺果指数,20.0,A,20240711,N
886084.TI,光纤概念,84.0,A,20240808,N
886085.TI,AI眼镜,181.0,A,20240814,N
886086.TI,西部大开发,630.0,A,20240826,N
886087.TI,房屋检测,46.0,A,20240827,N
886088.TI,2024三季报预增,99.0,A,20241009,N
886089.TI,回购增持再贷款概念,477.0,A,20241021,N
886090.TI,智谱AI,68.0,A,20241028,N
886091.TI,华为手机,44.0,A,20241119,N
886093.TI,华为数字能源,43.0,A,20241119,N
886094.TI,华为盘古,29.0,A,20241119,N
886095.TI,IP经济(谷子经济),190.0,A,20241126,N
886096.TI,同花顺新质50,50.0,A,20241210,N
886097.TI,2024年报预增,,A,20250110,N
886098.TI,小红书概念,54.0,A,20250114,N
886099.TI,AI智能体,399.0,A,20250124,N
