date,sentiment,机器人_热度,AI/DeepSeek_热度,半导体_热度,创新药_热度,军工_热度,商业航天_热度,新能源_热度,福建/台湾_热度,机器人_热度_pct,AI/DeepSeek_热度_pct,半导体_热度_pct,创新药_热度_pct,军工_热度_pct,商业航天_热度_pct,新能源_热度_pct,福建/台湾_热度_pct
2024-05-29,0,0,0,0,0,2,0,0,0,-100.0,-100.0,-100.0,-100.0,-93.33333333333333,-100.0,-100.0,-100.0
2024-05-30,26,10,48,28,0,28,24,14,12,inf,inf,inf,,1300.0,inf,inf,inf
2024-05-31,100,22,242,108,34,228,120,162,112,120.00000000000001,404.1666666666667,285.7142857142857,inf,714.2857142857142,400.0,1057.142857142857,833.3333333333334
2024-06-26,0,0,28,18,2,4,0,16,8,-100.0,-88.4297520661157,-83.33333333333334,-94.11764705882352,-98.24561403508771,-100.0,-90.12345679012346,-92.85714285714286
2024-06-27,52,6,64,38,6,46,18,32,10,inf,128.57142857142856,111.11111111111111,200.0,1050.0,inf,100.0,25.0
2024-06-28,20,4,66,28,6,32,12,28,18,-33.333333333333336,3.125,-26.315789473684216,0.0,-30.434782608695656,-33.333333333333336,-12.5,80.0
2024-06-29,42,28,190,46,8,174,70,78,20,600.0,187.87878787878788,64.28571428571428,33.33333333333333,443.75,483.3333333333333,178.57142857142856,11.111111111111116
2024-06-30,-4,2,88,42,12,94,60,36,32,-92.85714285714286,-53.68421052631579,-8.695652173913048,50.0,-45.97701149425287,-14.28571428571429,-53.84615384615385,60.00000000000001
2024-07-31,440,82,174,186,108,204,40,156,86,4000.0,97.72727272727273,342.8571428571429,800.0,117.02127659574467,-33.333333333333336,333.3333333333333,168.75
2024-08-30,-174,2,54,54,12,128,4,24,30,-97.5609756097561,-68.96551724137932,-70.96774193548387,-88.88888888888889,-37.254901960784316,-90.0,-84.61538461538461,-65.11627906976744
2024-08-31,8,14,184,102,24,172,170,110,60,600.0,240.74074074074073,88.88888888888889,100.0,34.375,4150.0,358.3333333333333,100.0
2024-09-30,764,38,150,80,30,148,24,140,190,171.42857142857144,-18.478260869565222,-21.568627450980394,25.0,-13.953488372093027,-85.88235294117648,27.27272727272727,216.66666666666666
2024-10-31,394,28,258,204,90,200,40,190,168,-26.315789473684216,72.0,154.99999999999997,200.0,35.13513513513513,66.66666666666667,35.71428571428572,-11.578947368421055
2024-11-29,-58,38,96,82,56,58,6,42,60,35.71428571428572,-62.7906976744186,-59.80392156862745,-37.77777777777778,-71.0,-85.0,-77.89473684210526,-64.28571428571428
2024-11-30,52,6,112,50,20,152,82,102,18,-84.21052631578947,16.666666666666675,-39.02439024390244,-64.28571428571428,162.06896551724137,1266.6666666666665,142.85714285714283,-70.0
2024-12-30,0,0,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2024-12-31,276,94,308,258,26,340,70,236,116,inf,inf,inf,inf,inf,inf,inf,inf
2025-01-30,4,0,24,6,0,32,0,6,0,-100.0,-92.20779220779221,-97.67441860465115,-100.0,-90.58823529411765,-100.0,-97.45762711864407,-100.0
2025-01-31,134,12,734,420,18,172,14,18,10,inf,2958.333333333333,6900.0,inf,437.5,inf,200.0,inf
2025-02-20,0,0,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2025-02-21,2,0,2,0,0,0,0,0,0,,inf,,,,,,
2025-02-24,2,0,2,0,0,2,0,0,4,,0.0,,,inf,,,inf
2025-02-25,2,0,0,0,0,0,0,0,0,,-100.0,,,-100.0,,,-100.0
2025-02-26,2,0,0,2,0,0,0,0,4,,,inf,,,,,inf
2025-02-27,4,0,0,4,0,0,0,0,0,,,100.0,,,,,-100.0
2025-02-28,-114,220,596,222,58,104,22,92,104,inf,inf,5450.0,inf,inf,inf,inf,inf
2025-03-03,2,0,0,0,0,0,6,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.72727272727273,-100.0,-100.0
2025-03-04,4,0,0,0,0,0,0,0,0,,,,,,-100.0,,
2025-03-05,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-03-06,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-03-07,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-03-08,0,0,0,0,0,0,0,0,0,,,,,,,,
2025-03-09,2,2,4,0,0,0,0,0,0,inf,inf,,,,,,
2025-03-10,2,2,2,0,0,0,0,0,0,0.0,-50.0,,,,,,
2025-03-11,4,0,0,0,0,0,0,0,0,-100.0,-100.0,,,,,,
2025-03-12,2,0,2,0,0,0,0,0,0,,inf,,,,,,
2025-03-13,2,0,4,0,0,0,0,0,0,,100.0,,,,,,
2025-03-14,2,2,6,0,2,0,0,0,0,inf,50.0,,inf,,,,
2025-03-17,2,0,2,2,0,0,0,0,0,-100.0,-66.66666666666667,inf,-100.0,,,,
2025-03-18,2,0,4,0,0,0,0,0,0,,100.0,-100.0,,,,,
2025-03-19,2,2,0,0,0,0,0,0,0,inf,-100.0,,,,,,
2025-03-20,6,0,0,0,0,0,0,2,0,-100.0,,,,,,inf,
2025-03-21,6,0,4,0,0,0,0,0,0,,inf,,,,,-100.0,
2025-03-24,2,0,2,0,0,0,0,0,0,,-50.0,,,,,,
2025-03-25,2,0,6,0,0,0,2,0,0,,200.0,,,,inf,,
2025-03-26,6,0,4,2,0,2,0,2,0,,-33.333333333333336,inf,,inf,-100.0,inf,
2025-03-27,2,0,0,0,0,0,0,0,0,,-100.0,-100.0,,-100.0,,-100.0,
2025-03-28,4,0,2,0,0,0,0,0,2,,inf,,,,,,inf
2025-03-30,0,0,0,0,0,0,0,0,0,,-100.0,,,,,,-100.0
2025-03-31,-34,124,528,136,104,164,100,112,144,inf,inf,inf,inf,inf,inf,inf,inf
2025-04-01,4,2,2,6,0,0,0,0,0,-98.38709677419355,-99.62121212121212,-95.58823529411765,-100.0,-100.0,-100.0,-100.0,-100.0
2025-04-02,4,0,2,0,0,0,0,0,0,-100.0,0.0,-100.0,,,,,
2025-04-03,2,0,0,0,0,0,0,0,0,,-100.0,,,,,,
2025-04-04,0,0,0,0,0,0,0,0,0,,,,,,,,
2025-04-07,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-04-08,4,0,0,0,0,0,0,0,0,,,,,,,,
