最小高开,最小振幅,大盘暴涨阈值,大盘暴跌阈值,避开小跌,企业类型,卖出策略,交易次数,胜率,平均收益,总收益,最大回撤
4.0,1.0,1.5,-1.5,是,地方国有企业+中央国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,1.0,1.5,-1.5,是,地方国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,2.0,1.5,-1.5,是,地方国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,2.0,1.5,-1.5,是,地方国有企业+中央国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,2.0,2.0,-2.0,是,地方国有企业+中央国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,2.0,2.0,-2.0,是,地方国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,1.0,2.0,-2.0,是,地方国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,1.0,2.0,-2.0,是,地方国有企业+中央国有企业,动态止盈,60,60.0,4.48696669404812,269.2180016428872,-21.09404723417191
4.0,1.0,1.0,-1.0,是,地方国有企业+中央国有企业,动态止盈,65,58.46153846153847,4.4145150378334765,286.943477459176,-21.094047234171903
4.0,1.0,1.0,-1.0,是,地方国有企业,动态止盈,65,58.46153846153847,4.4145150378334765,286.943477459176,-21.094047234171903
3.5,2.0,1.5,-1.5,是,不限,动态止盈,344,56.68604651162791,4.28649408952401,1474.5539667962594,-40.82204170192988
3.5,2.0,2.0,-2.0,是,不限,动态止盈,343,56.559766763848394,4.2625966638958,1462.0706557162594,-40.82204170192989
3.5,1.0,1.5,-1.5,是,不限,动态止盈,348,56.60919540229885,4.260921874642229,1482.8008123754955,-40.82204170192988
3.5,1.0,2.0,-2.0,是,不限,动态止盈,347,56.48414985590778,4.237226228517279,1470.3175012954957,-40.82204170192988
4.0,2.0,1.0,-1.0,是,地方国有企业+中央国有企业,动态止盈,64,57.8125,4.218463131844699,269.9816404380607,-21.094047234171903
4.0,2.0,1.0,-1.0,是,地方国有企业,动态止盈,64,57.8125,4.218463131844699,269.9816404380607,-21.094047234171903
3.5,1.0,1.5,-1.5,否,地方国有企业,动态止盈,116,60.3448275862069,4.117150076555271,477.5894088804115,-31.592205261883898
3.5,1.0,1.5,-1.5,否,地方国有企业+中央国有企业,动态止盈,116,60.3448275862069,4.117150076555271,477.5894088804115,-31.592205261883898
3.5,2.0,1.5,-1.5,否,地方国有企业+中央国有企业,动态止盈,115,60.0,4.005457146602576,460.6275718592962,-31.592205261883898
3.5,2.0,1.5,-1.5,否,地方国有企业,动态止盈,115,60.0,4.005457146602576,460.6275718592962,-31.592205261883898
3.5,1.0,1.5,-1.5,是,地方国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,1.0,2.0,-2.0,是,地方国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,2.0,1.5,-1.5,是,地方国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,1.0,1.5,-1.5,是,地方国有企业+中央国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,1.0,2.0,-2.0,是,地方国有企业+中央国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,2.0,2.0,-2.0,是,地方国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,2.0,2.0,-2.0,是,地方国有企业+中央国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,2.0,1.5,-1.5,是,地方国有企业+中央国有企业,动态止盈,72,56.94444444444444,3.7263146483490366,268.2946546811306,-21.09404723417191
3.5,1.0,1.0,-1.0,是,地方国有企业,动态止盈,77,55.84415584415584,3.714547149317133,286.02013049741925,-21.094047234171903
3.5,1.0,1.0,-1.0,是,地方国有企业+中央国有企业,动态止盈,77,55.84415584415584,3.714547149317133,286.02013049741925,-21.094047234171903
3.5,2.0,1.0,-1.0,是,地方国有企业,动态止盈,76,55.26315789473685,3.54024070363558,269.0582934763041,-21.094047234171903
3.5,2.0,1.0,-1.0,是,地方国有企业+中央国有企业,动态止盈,76,55.26315789473685,3.54024070363558,269.0582934763041,-21.094047234171903
