近期天数,最大涨幅,最小高开,企业类型,交易次数,胜率,平均收益,总收益,最大回撤
30,15,3.0,不限,718,80.50139275766016,4.988290775691439,3581.5927769464533,-15.037671228076416
30,20,3.0,地方国有企业,194,82.9896907216495,4.977912626562758,965.715049553175,-12.33114164911467
30,20,3.0,地方国有企业+中央国有企业,194,82.9896907216495,4.977912626562758,965.715049553175,-12.33114164911467
30,25,3.5,地方国有企业,196,81.12244897959184,4.970265316853476,974.1720021032813,-11.385223894218052
30,25,3.5,地方国有企业+中央国有企业,196,81.12244897959184,4.970265316853476,974.1720021032813,-11.385223894218052
40,25,3.0,地方国有企业,198,83.33333333333334,4.969698338139713,984.0002709516631,-12.331141649114663
40,25,3.0,地方国有企业+中央国有企业,198,83.33333333333334,4.969698338139713,984.0002709516631,-12.331141649114663
40,10,3.5,地方国有企业+中央国有企业,110,84.54545454545455,4.965227360073168,546.1750096080485,-7.752696894521168
40,10,3.5,地方国有企业,110,84.54545454545455,4.965227360073168,546.1750096080485,-7.752696894521168
40,25,3.5,地方国有企业+中央国有企业,176,82.38636363636364,4.965099588700011,873.8575276112019,-8.509746384405798
40,25,3.5,地方国有企业,176,82.38636363636364,4.965099588700011,873.8575276112019,-8.509746384405798
40,25,3.5,不限,742,78.57142857142857,4.964241642079749,3683.467298423174,-20.54843907604235
40,20,3.5,地方国有企业+中央国有企业,157,83.43949044585987,4.954124380799465,777.797527785516,-10.111375833100226
40,20,3.5,地方国有企业,157,83.43949044585987,4.954124380799465,777.797527785516,-10.111375833100226
40,15,3.5,地方国有企业,133,83.45864661654136,4.950702932155423,658.4434899766712,-7.7526968945211685
40,15,3.5,地方国有企业+中央国有企业,133,83.45864661654136,4.950702932155423,658.4434899766712,-7.7526968945211685
40,15,3.0,地方国有企业+中央国有企业,145,84.82758620689656,4.950501598745706,717.8227318181274,-7.752696894521173
40,15,3.0,地方国有企业,145,84.82758620689656,4.950501598745706,717.8227318181274,-7.752696894521173
20,25,4.0,地方国有企业,232,81.89655172413794,4.94964467693643,1148.3175650492517,-10.845124225696038
20,25,4.0,地方国有企业+中央国有企业,232,81.89655172413794,4.94964467693643,1148.3175650492517,-10.845124225696038
20,15,3.0,不限,858,79.95337995337995,4.930771285036976,4230.601762561726,-12.122293471169401
40,20,3.0,地方国有企业,174,84.48275862068965,4.900778421732902,852.7354453815249,-10.111375833100222
40,20,3.0,地方国有企业+中央国有企业,174,84.48275862068965,4.900778421732902,852.7354453815249,-10.111375833100222
30,25,3.0,地方国有企业+中央国有企业,224,81.25,4.883412006397406,1093.884289433019,-16.69840950054252
30,25,3.0,地方国有企业,224,81.25,4.883412006397406,1093.884289433019,-16.69840950054252
20,20,3.0,不限,1067,78.35051546391753,4.800827234824876,5122.482659558143,-22.38152088660121
30,25,3.0,不限,1005,77.71144278606965,4.799546555731776,4823.544288510435,-18.38240366010337
30,20,3.0,不限,881,78.32009080590238,4.784918602004085,4215.513288365599,-17.558777159458682
40,20,3.0,不限,764,79.18848167539268,4.766914330289647,3641.9225483412906,-15.037671228076421
20,25,3.5,地方国有企业,263,80.6083650190114,4.7594866323273015,1251.7449843020804,-10.84512422569603
20,25,3.5,地方国有企业+中央国有企业,263,80.6083650190114,4.7594866323273015,1251.7449843020804,-10.84512422569603
20,25,3.0,地方国有企业,300,80.0,4.731418701680729,1419.4256105042186,-16.698409500542507
20,25,3.0,地方国有企业+中央国有企业,300,80.0,4.731418701680729,1419.4256105042186,-16.698409500542507
20,25,3.0,不限,1289,77.11404189294026,4.725289065112184,6090.897604929605,-29.10237799367489
40,15,3.0,不限,651,79.72350230414746,4.710878710969584,3066.782040841199,-15.037671228076418
40,25,3.0,不限,877,77.99315849486888,4.709293119514358,4130.050065814092,-17.341449696829994
40,10,3.0,不限,525,80.57142857142857,4.702267338010186,2468.6903524553477,-12.761142001924275
20,10,2.0,地方国有企业,165,81.81818181818183,4.650768308264368,767.3767708636208,-9.638554216867464
20,10,2.0,地方国有企业+中央国有企业,165,81.81818181818183,4.650768308264368,767.3767708636208,-9.638554216867464
20,15,2.0,地方国有企业+中央国有企业,247,82.18623481781377,4.600679753737873,1136.3678991732547,-12.777379349391971
20,15,2.0,地方国有企业,247,82.18623481781377,4.600679753737873,1136.3678991732547,-12.777379349391971
30,15,2.0,地方国有企业,197,80.71065989847716,4.511177840344203,888.702034547808,-6.997354497354482
30,15,2.0,地方国有企业+中央国有企业,197,80.71065989847716,4.511177840344203,888.702034547808,-6.997354497354482
20,20,2.0,地方国有企业+中央国有企业,313,79.87220447284345,4.481221549805015,1402.6223450889697,-12.777379349391968
20,20,2.0,地方国有企业,313,79.87220447284345,4.481221549805015,1402.6223450889697,-12.777379349391968
40,10,2.0,地方国有企业,150,82.0,4.442034045124195,666.3051067686292,-7.752696894521166
40,10,2.0,地方国有企业+中央国有企业,150,82.0,4.442034045124195,666.3051067686292,-7.752696894521166
30,20,2.0,地方国有企业+中央国有企业,244,78.68852459016394,4.376994277371386,1067.9866036786182,-12.33114164911466
30,20,2.0,地方国有企业,244,78.68852459016394,4.376994277371386,1067.9866036786182,-12.33114164911466
30,10,2.0,地方国有企业+中央国有企业,147,80.95238095238095,4.355230327886871,640.2188581993701,-6.99735449735449
30,10,2.0,地方国有企业,147,80.95238095238095,4.355230327886871,640.2188581993701,-6.99735449735449
20,10,2.0,不限,848,77.47641509433963,4.32474259504211,3667.38172059571,-13.505938565233604
40,15,2.0,地方国有企业+中央国有企业,182,80.21978021978022,4.317204640938067,785.7312446507283,-7.752696894521173
40,15,2.0,地方国有企业,182,80.21978021978022,4.317204640938067,785.7312446507283,-7.752696894521173
30,10,2.0,不限,787,77.38246505717916,4.304006724371153,3387.253292080097,-10.120417697798102
40,25,2.0,地方国有企业+中央国有企业,250,79.2,4.295341501140468,1073.8353752851172,-11.285549760526136
40,25,2.0,地方国有企业,250,79.2,4.295341501140468,1073.8353752851172,-11.285549760526136
30,25,2.0,地方国有企业,283,78.09187279151944,4.291619264624892,1214.5282518888444,-15.704904292750829
